publishedAt,title,channelTitle,likes,dislikes,view_count
2020-10-01,Jim Carrey and Maya Rudolph Transform into Joe Biden and Kamala Harris - SNL,Saturday Night Live,42891,2650,2526816
2020-10-04,First Debate Cold Open - SNL,Saturday Night Live,437775,57125,21954683
2020-10-04,Superspreader Event - SNL,Saturday Night Live,43426,1370,2504202
2020-10-04,Weekend Update: Trump Tests Positive for Covid - SNL,Saturday Night Live,40076,2449,2916986
2020-10-11,VP Fly Debate Cold Open - SNL,Saturday Night Live,188194,31682,12070479
2020-10-11,New Normal - SNL,Saturday Night Live,29237,1326,1646765
2020-10-18,Dueling Town Halls Cold Open - SNL,Saturday Night Live,100317,11249,7610686
2020-10-25,Final Debate Cold Open - SNL,Saturday Night Live,136664,20003,8321084
2020-10-25,Adele Monologue - SNL,Saturday Night Live,65916,1621,5002750
2020-10-25,The Bachelor - SNL,Saturday Night Live,93511,1247,4929699
2020-11-08,"Weekend Update: Rudy Giuliani on Trump's Election Lawsuits - SNL",Saturday Night Live,83187,4679,5530282
2020-11-08,Biden Victory Cold Open - SNL,Saturday Night Live,275185,29394,14927666
2020-12-13,Rap Roundtable - SNL,Saturday Night Live,214936,4382,5727960
2021-01-31,Twins - SNL,Saturday Night Live,38236,870,1794947
2021-02-07,Super Bowl Pre-game Show Cold Open - SNL,Saturday Night Live,35177,2714,2845426
2021-02-21,Britney Spears Cold Open - SNL,Saturday Night Live,53080,5830,3912795
2021-04-04,Salt Bae - SNL,Saturday Night Live,22567,1144,1207224
2021-05-09,Weekend Update: Financial Expert Lloyd Ostertag on Cryptocurrency - SNL,Saturday Night Live,47815,2361,2193521
2021-05-09,Wario - SNL,Saturday Night Live,103978,36296,4951441
2021-05-09,Chad on Mars - SNL,Saturday Night Live,154928,5103,4765679
2021-05-09,Elon Musk Monologue - SNL,Saturday Night Live,195326,16510,8649926
2021-10-03,Weekend Update: Pete Davidson on the Met Gala - SNL,Saturday Night Live,41460,1080,1889278
2021-10-10,Kim Kardashian West Monologue - SNL,Saturday Night Live,73804,5028,3677141
2021-10-10,The Dream Guy - SNL,Saturday Night Live,67796,3970,3662525
2021-11-14,Please Don’t Destroy - Three Sad Virgins (ft. Taylor Swift) - SNL,Saturday Night Live,121714,3041,3909419
2021-11-14,Taylor Swift: All Too Well (Live) - SNL,Saturday Night Live,147346,1787,2923091
2022-05-15,Johnny Depp and Amber Heard Trial Cold Open - SNL,Saturday Night Live,63641,0,6104838
2022-05-22,Weekend Update: Pete Davidson Says Goodbye for Now - SNL,Saturday Night Live,67011,0,3092421
2022-05-22,Final Encounter Cold Open - SNL,Saturday Night Live,69199,0,3479118
2022-10-02,ManningCast Cold Open - SNL,Saturday Night Live,15793,0,1377255
2022-10-09,Try Guys - SNL,Saturday Night Live,32755,0,2167367
2023-01-18,Aubrey Plaza Shows Off Her Impersonation Skills to Chloe Fineman - SNL,Saturday Night Live,11983,0,694952
2023-01-22,Aubrey Plaza Monologue - SNL,Saturday Night Live,27073,0,2179614
2023-01-22,Weekend Update: April Ludgate and Leslie Knope on Working for the Government - SNL,Saturday Night Live,23439,0,1476771
