view_count,tag_count,video_id
208581468,6,gdZLi9oWNZg
206344829,26,gQlMMD8auMs
194625542,1,qF0N19MgI3Q
176467113,26,vRXZj0DzXIA
166895681,6,WMweEpGlu_U
156482499,4,CuklIb9d3fI
154513998,1,ia6fRSeK8I0
154134590,24,awkkyBH2zEo
141428767,6,-5q5mZbe3V8
137068663,1,0e3GPea1Tyg
124476794,1,v4YjoKim3HA
124180499,26,dyRsYk0LyA8
121633557,1,SN0WiRJGBXc
121159003,34,8dJyRm2jJ-U
117832430,1,hdmx71UjBXs
117791538,26,POe9SOEKotk
107534237,5,T6n7lZirQkA
106089141,1,Fw7fbKoK3e8
104017073,20,U3ASj1L6_sY
100694053,3,46SbB0IHplE
97611742,1,LrJYKxyrMwg
95023322,3,pFtsvQuefXQ
94356729,24,CKZvWhCqx1s
93952431,4,kXpOEzNZ8hQ
93935173,33,hsm4poTWjMs
93279276,24,P0ya8iGw2QE
92559180,24,myjEoDypUD8
92004215,1,ggJoXFNkRUw
91348943,4,nB6r1oF2Dv0
89148381,42,CocEMWdc7Ck
89075984,26,2Zcz3Z0baVE
87563278,1,CvCtn5Q_nzs
84063330,30,FLGCGc7sAUw
79358096,25,YxWlaYCA8MU
78817462,20,WPdWvnAAurg
78550806,40,XA2YEHn-A8Q
78144546,1,i0Ye1lBEgnM
75240162,1,TDNNkOv8M8Q
74165462,1,-C-16oZxTbw
74122461,1,CWz6PRLq4wg
73860649,51,Hbb5GPxXF1w
73707275,1,PkKnp4SdE-w
72811825,26,6swmTBVI83k
72681293,1,qpw5i2j6cHc
72593468,1,4TWR90KJl84
71041875,21,fCO7f0SmrDc
70903522,22,8FAUEv_E_xQ
70693705,1,2CZsmTXeRBM
70501316,55,F0B7HDiY-10
69850655,22,CM4CkVFmTds
69824953,46,_ysomCGaZLw
68537758,1,HMjS3CIvuQA
68010978,4,DPMluEVUqS0
67644292,1,kisKStB4oiU
67482125,1,946ZIZ_dRpY
67440361,1,dYRITmpFbJ4
67101307,1,JQxQqdn9dEM
66815857,1,7IKab3HcfFk
66540937,6,zFT3f9biz68
66309901,1,ZnvTXxB0TLU
66270205,10,YTZ-GZPTND8
66041515,1,65PZQ84B7Lo
64423469,22,FLTal_F_J8c
64235086,40,FRilMXZqNhA
64144740,13,j5y6xLpRwx4
63987772,28,a7GITgqwDVg
62885609,9,O2W2gUXAt78
62496726,6,oxoWhyS9buA
62422662,1,no37D2RJ-Rc
62103265,1,HwpUtagJ4PE
61337555,1,vq_TlmbSXwQ
61192885,2,gdsUKphmB3Y
60257720,1,0CTp1a-aCUM
59870947,1,Hwybp38GnZw
59850727,23,rt-2cxAiPJk
59551070,1,h5NvTTOlOtI
59248968,1,9bqk6ZUsKyA
58980893,13,H12SwqwR2NE
58357695,39,HO73gUhiYe0
58189803,1,EPHVEFmudEA
57719607,6,OOMxU9f1FBU
57594063,29,f5_wn8mexmM
56902061,1,xZnpDnRVGmg
56642290,51,MjCZfZfucEc
56531571,7,tyrVtwE8Gv0
55593282,1,b6hyzp9E5dw
55005587,13,BNqg-1GBpLw
54615429,15,doLMt10ytHY
54326705,1,kX3nB4PpJko
54324055,22,X20G8tMa6Hg
54190105,22,dP5VsjNH1nI
53861867,1,2IkoKhr6Tss
53772965,1,jEapy0C5s-A
53596388,48,KR0g-1hnQPA
53541707,4,4vbDFu0PUew
53435554,1,86Znx3hG57I
53040446,29,dmW68lzaaqs
52632796,54,EaswWiwMVs8
52536959,1,2isYuQZMbdU
52521937,1,-ktB5ANxgYM
52410942,42,k6jqx9kZgPM
52401468,1,v1vU5Gu4BFw
51624621,1,_y9vYoBfVAY
51349182,21,dNCWe_6HAM8
51284907,54,Y8JFxS1HlDo
51249841,1,8lIDS-IjGxw
51217276,1,O4XGsIDesEI
51165925,4,ZeerrnuLi5E
51156615,4,UTHLKHL_whs
51004928,25,RNwtz6VQiw8
50659054,1,jopwfhsdTuc
50515389,19,cX6g4cbVBwI
50488697,1,c9RzZpV460k
50093558,11,Z3RA7bi5FUM
49747933,32,1oYWnbTSang
49525449,36,H5v3kku4y6Q
49464384,7,fzeWc3zh01g
49393005,1,k0HRfU73nB4
49276005,9,Uj8sxzPShHw
48706514,23,jB4La691ou8
48688359,1,iogcY_4xGjo
48443600,14,8ctIpYaWnv8
48400204,1,x6YpjT0of0o
48268115,27,3YqPKLZF_WU
48079749,6,n95ACvZQWbw
47927026,10,tJXPfNDVF4I
47533536,1,AWaclujDSuc
47397141,19,YeCn3or0XWs
47112617,28,bagFQCTHXy8
46856933,1,odM92ap8_c0
46740014,24,vPwaXytZcgI
46687033,19,aaxWZcap_-4
46641974,57,st4GTOkQstc
46480619,1,EqboAI-Vk-U
46310689,34,QkUHelVdsWs
46175261,1,0F9sX_CHi3g
45950142,30,jeI992mvlEY
45917497,49,f6YDKF0LVWw
45700296,25,fzOPc-VtcTE
45596902,6,BV2FdDmGiW0
45301186,23,7WyHtSlvHD4
45290917,2,ic0rgB2NUyM
45032081,37,ElqVzWwM-dc
44893901,22,JfVOs4VSpmA
44889915,57,OvioeS1ZZ7o
44688347,18,8C_ibG489oE
44632703,18,jEdfjuG0Fx4
44012297,1,S4qEtPghh50
43761768,26,oZP2h3WIzqk
43745814,1,jN1M2PweJ5U
43736200,52,zugAhfd2r0g
43733245,1,3jS_yEK8qVI
43634327,16,YHkVNfkAo5U
43374718,4,gNi_6U5Pm_o
43118848,21,Jh4QFaPmdss
42969601,26,RFMi3v0TXP8
42941338,4,RVH5dn1cxAQ
42785933,4,aGum5N9apIU
42772500,4,pyf8cbqyfPs
42512995,1,Z9Jj8QFbT3M
42508329,23,tollGa3S0o8
42265636,31,p38WgakuYDo
42174588,6,YLXfyHsfFz0
42034380,31,3GWscde8rM8
42006666,1,zxYjTTXc-J8
41993003,1,R3wb56nmOaA
41857429,15,vJvX9L6FCWI
41565347,42,WkgHkrM9fo0
41490574,1,fb5ELWi-ekk
41359081,1,Izra3S2xCtM
41348463,1,tVWWp1PqDus
41294268,20,n7_99qR5EJI
41233535,30,p1bjnyDqI9k
40965409,1,uCB_9S60c9M
40870808,30,b1kbLwvqugk
40808194,6,RUQl6YcMalg
40702067,1,d5P2i9dQyAY
40510240,1,OO3e6j1UELM
40458720,1,jdMNoQE3mIQ
40342522,7,tQ0yjYUFKAE
40147961,39,vMLk_T0PPbk
40113434,22,tcYodQoapMg
39932161,2,aWzlQ2N6qqg
39841744,21,z3szNvgQxHo
39765475,1,hD1YtmKXNb4
39494511,16,tAhmtmMvYmc
39479535,57,SCK8yBLqQJc
39450042,21,eN5mG_yMDiM
39425799,1,QbJJwaVdgIs
39260748,1,00NgUctWoLQ
39252484,7,CtpdMkKvB6U
39162903,14,XXYlFuWEuKI
39097603,1,AakNUZrojMU
38929194,1,gHzuabZUd6c
38728091,30,bZYPI4mYwhw
38644269,1,3PGo7Hs1yfU
38539920,8,gRnuFC4Ualw
38473105,1,k9n0mqKfrUg
38365915,24,bvWRMAU6V-c
38355119,1,_pp-GOWZ0Zg
38095812,15,T7lhGz6Bfik
37847099,36,D2XYH-IEvhI
37819586,19,3CxtK7-XtE0
37536880,34,4SzCjAimwTs
37527584,4,fiB5bTWSdvk
37137089,1,f1zTLuacFm4
37135897,20,aS1no1myeTM
37117932,9,91VRyTvjoX4
37108992,1,ayXxwJJId_c
37002863,17,-0xLZpERmoI
37000646,1,bK6ldnjE3Y0
36964560,1,zfeExWeRliA
36936373,38,jwmS1gc9S5A
36887727,7,S2dRcipMCpw
36714946,33,SK37InR9j38
36413172,50,X-uJtV8ScYk
36174188,57,jYSlpC6Ud2A
36107152,1,coxwcgy1l3s
35798517,1,x9TQ6culXIA
35708987,9,IwzkfMmNMpM
35692180,30,tg2uF3R_Ozo
35600987,4,pKdBFeewZYE
35463293,1,L8CZJm2HbTQ
35329043,1,uocETPj4Jx4
35301797,16,f5omY8jVrSM
35263482,2,Go8nTmfrQd8
35185665,17,1WEnhRMuvC8
35036120,15,OBTs01UT6ec
34787904,29,H69tJmsgd9I
34769384,5,dMGRTR97Ito
34755464,4,c6ASQOwKkhk
34733891,44,rb0bjyt1OD0
34710163,1,fMfipiV_17o
34505040,8,JFm7YDVlqnI
34456816,9,wY6UyatwVTA
34407928,1,A5H8zBb3iao
34331748,34,H8kqPkEXP_E
34268023,2,tgB1wUcmbbw
34089905,1,-VuPUG6qhkM
34048882,18,QLKsrtMw2MA
34014941,9,MPbUaIZAaeA
33873699,13,TD_BZN0bn_U
33772873,32,PjrAwC4TIPA
33704857,1,A6oI2w1wZuc
33502455,1,LeYsRMZFUq0
33365363,1,DuQbOQwVaNE
33323801,42,bMDkGTme7aY
33305254,26,B6_iQvaIjXw
33291749,13,7khV7Rvlerg
33262071,26,adLGHcj_fmA
33199085,1,d9MyW72ELq0
33117248,1,WcwGleN38zE
33036170,1,QiqU0s7nbJA
33016615,22,TmKh7lAwnBI
33000246,58,--FmExEAsM8
32916212,1,cV2gBU6hKfY
32910350,26,sdycvSqMhPI
32822929,17,qvu4nPMyl3U
32772710,24,pvPsJFRGleA
32743032,2,RlOB3UALvrQ
32723063,1,qIsgdOVGA04
32714921,6,KIK3azN4w34
32699536,21,RsEZmictANA
32665074,1,PKtnafFtfEo
32649629,1,TJumjVX9uJU
32602094,10,N9lqbhVVTck
32558139,39,-2X-pL06628
32504376,1,C680oxL__ck
32430846,1,TQHEJj68Jew
32398023,1,DbICwMu4O8Y
32384432,8,8TsWkuWWXgc
32356112,18,V0wInr_xATk
32343417,26,orJSJGHjBLI
32307341,20,n36IqbvZ8ZA
32166528,1,9ix7TUGVYIo
32148252,48,pYRSY1Kv3YY
32091079,14,z2ZjutyxmjA
32077579,1,hxwpkM5w3Cc
32073161,26,LGkUW5cUPz8
31888423,31,qEVUtrk8_B4
31838350,1,E6E22XQPhhg
31816734,24,DriCCFRQlj8
31786800,1,MRvi_MKxolw
31626180,29,KilybZma5vY
31583221,13,Jm29kLeWqDA
31556897,12,GuTKZSQG_JM
31489721,4,ymaIzkXY8nQ
31475774,1,nM89Wl03Q4g
31475601,1,J8nWSJwnWvs
31358458,11,DPzKpJ7ksB0
31242126,38,ZJaKdBBzUYk
31200015,33,P3cffdsEXXw
31146664,15,ujf3iJoWgrM
31066907,1,NkE0AMGzpJY
31061855,40,mqqft2x_Aa4
31055670,21,saGYMhApaH8
31004573,34,ca48oMV59LU
30991742,29,JXgV1rXUoME
30976594,26,juQvizeZJFM
30954713,24,c8O01OhpdhU
30919606,1,3JEiig8KXvo
30868590,1,xsLJZyih3Ac
30858899,1,x-KbnJ9fvJc
30810881,12,FeiWFlrX4s4
30792974,1,NZlClr_ivb4
30767909,1,C5kIQ9zpjRI
30725226,9,FFpiZx1vQmk
30430077,1,dg2Ag3e8W-Q
30398625,1,qa3I51_gdg0
30179650,21,N0QqNGbpTK0
30174302,1,5Fg9oZk-5uA
30173157,32,rCiBgLOcuKU
30132701,21,QDYDRA5JPLE
30121659,38,aPd9exmH17o
30106753,29,iHCjPjVGqbM
30073222,1,65fN_OUawjk
30059975,53,K7LY9Ta0eiY
30033475,21,FrjCHMHK8Xc
29988122,24,eULmdt9zc30
29974086,21,jmwU1iAC-IE
29939866,1,urtFrxDUV6c
29857756,1,FbM1yi4mMMc
29823890,1,nYwGpw6KsSA
29776108,1,Cf2Bugb5dI8
29770769,1,cqGjhVJWtEg
29768357,21,moqX7VHq_7c
29730851,41,A_g3lMcWVy0
29710347,1,f0c7pSCoZqE
29671435,1,GUdnTGnm6Yk
29663773,20,LIIDh-qI9oI
29586833,24,91vECNhvmMY
29580488,27,n0j5NPptyM0
29561963,1,CLwXukmEaUw
29479954,4,WpuatuzSDK4
29349431,29,27h9SJcIdM0
29318211,15,DbXMjAYSa68
29282398,45,SszP3hlQ55Y
29204818,5,ZmDBbnmKpqQ
29046083,26,UTCC8k6KwnQ
29038515,1,LnlKwzc_TNA
28982410,27,Y1J9_9-vNcU
28903448,23,Mx_OexsUI2M
28762944,14,PJD7YnBZ5kw
28727667,6,cX9BHG1ZDzg
28620327,24,RJ0jdO5ZfU4
28542743,1,pN53t_F5ZiA
28486590,34,zJCdkOpU90g
28481162,1,Zv2L2XU0HAM
28389717,18,ayd3yWr4tqU
28365071,20,RNzQdcPWWX4
28306863,1,SPYX2y4NzTU
28294277,26,-Ca8V1-ihq0
28262908,61,yY13X0BKaUw
28254624,1,Dc2ZRmuH5OM
28207273,5,qWUsV2Ios8A
28160177,40,Gzs60iBgd3E
