count,date
40,2022-09-01
31,2022-09-02
35,2022-09-03
38,2022-09-04
13,2022-09-05
46,2022-09-06
32,2022-09-07
36,2022-09-08
26,2022-09-09
39,2022-09-10
37,2022-09-11
35,2022-09-12
40,2022-09-13
26,2022-09-14
34,2022-09-15
33,2022-09-16
31,2022-09-17
19,2022-09-18
34,2022-09-19
35,2022-09-20
31,2022-09-21
46,2022-09-22
41,2022-09-23
25,2022-09-24
38,2022-09-25
34,2022-09-26
30,2022-09-27
33,2022-09-28
29,2022-09-29
32,2022-09-30
27,2022-10-01
34,2022-10-02
38,2022-10-03
36,2022-10-04
38,2022-10-05
37,2022-10-06
23,2022-10-07
47,2022-10-08
37,2022-10-09
33,2022-10-10
42,2022-10-11
29,2022-10-12
36,2022-10-13
38,2022-10-14
39,2022-10-15
42,2022-10-16
37,2022-10-17
38,2022-10-18
35,2022-10-19
23,2022-10-20
27,2022-10-21
43,2022-10-22
27,2022-10-23
27,2022-10-24
42,2022-10-25
29,2022-10-26
25,2022-10-27
25,2022-10-28
37,2022-10-29
37,2022-10-30
35,2022-10-31
41,2022-11-01
41,2022-11-02
45,2022-11-03
11,2022-11-04
22,2022-11-05
35,2022-11-06
31,2022-11-07
32,2022-11-08
28,2022-11-09
35,2022-11-10
28,2022-11-11
37,2022-11-12
50,2022-11-13
23,2022-11-14
29,2022-11-15
41,2022-11-16
40,2022-11-17
56,2022-11-18
41,2022-11-19
43,2022-11-20
42,2022-11-21
25,2022-11-22
34,2022-11-23
32,2022-11-24
39,2022-11-25
41,2022-11-26
24,2022-11-27
30,2022-11-28
48,2022-11-29
36,2022-11-30
43,2022-12-01
41,2022-12-02
32,2022-12-03
38,2022-12-04
40,2022-12-05
39,2022-12-06
43,2022-12-07
35,2022-12-08
45,2022-12-09
35,2022-12-10
39,2022-12-11
43,2022-12-12
22,2022-12-13
39,2022-12-14
35,2022-12-15
36,2022-12-16
29,2022-12-17
46,2022-12-18
26,2022-12-19
29,2022-12-20
41,2022-12-21
29,2022-12-22
8,2022-12-23
10,2022-12-24
12,2022-12-25
29,2022-12-26
19,2022-12-27
23,2022-12-28
7,2022-12-29
24,2022-12-30
19,2022-12-31
32,2023-01-01
28,2023-01-02
36,2023-01-03
41,2023-01-04
38,2023-01-05
24,2023-01-06
31,2023-01-07
35,2023-01-08
31,2023-01-09
29,2023-01-10
39,2023-01-11
39,2023-01-12
35,2023-01-13
37,2023-01-14
45,2023-01-15
28,2023-01-16
36,2023-01-17
48,2023-01-18
42,2023-01-19
33,2023-01-20
36,2023-01-21
42,2023-01-22
25,2023-01-23
2,2023-01-24
