_id,INavg,JPavg,KRavg,RUavg
Autos & Vehicles,71482.29,32836.1,34593.44,328336.59
Comedy,841552.21,150439.57,130147.39,414627.12
Education,685151.62,65772.45,132257.89,106362.25
Entertainment,1044005.82,162526.31,189914.09,315977.22
Film & Animation,372112.18,133748.58,86963.64,333629.24
Gaming,276494.08,118940.88,55100.01,293057.27
Howto & Style,460729.15,76584.33,112651.34,214480.54
Music,1859531.24,808630.03,855876.58,634307.28
News & Politics,92848.08,28260.37,71068.84,394009.86
People & Blogs,734490.98,73404.03,101916.51,254291.9
Pets & Animals,249860.03,228933.18,241672.42,270458.13
Science & Technology,1156894.25,81201.03,123909.15,287827.06
Sports,300933.63,107327.6,154970.3,439919.48
Travel & Events,440287.25,40005.47,230951.94,181892.51
