_id,IN,JP,KR,RU,totalSUM
Autos & Vehicles,317,378,224,5052,5971
Comedy,3556,1250,1170,5909,11885
Education,1432,123,390,915,2860
Entertainment,21587,7609,7028,14144,50368
Film & Animation,1024,1118,616,6631,9389
Gaming,3047,3069,805,13803,20724
Howto & Style,1722,797,765,2520,5804
Music,5652,2976,2264,6361,17253
News & Politics,1731,462,1216,14997,18406
People & Blogs,8558,2949,3062,16041,30610
Pets & Animals,24,330,372,618,1344
Science & Technology,1895,97,328,2354,4674
Sports,1587,1961,1714,7547,12809
Travel & Events,367,49,325,629,1370
